Pos.,No.,Class,Pro,Rank,Name,Laps,Gap,Last,Fastest,Pit,Vehicle,collection_time
56,145,SP 10,PROAM,5,Bleekemolen,34,5:38.068,11:10.870,8:57.361,5,BMW M4 GT4 EVO (G82),2026-05-17 00:38:38.318006
57,36,SP 9,AM,32,Scherer,34,6:44.232,11:57.971,9:05.727,5,BMW E89 Z4 (EVO 2013),2026-05-17 00:38:38.318006
58,177,SP 10,PROAM,6,Nicolae,34,7:02.130,10:54.145,9:00.667,4,BMW M4 GT4 EVO (G82),2026-05-17 00:38:38.318006
59,91,SP 7,,1,Ertl,34,8:15.624,11:49.779,8:49.797,5,Porsche 911 GT3 Cup (991),2026-05-17 00:38:38.318006
60,90,SP 10,PROAM,7,Sagrera,34,6:32.773,10:51.396,8:59.380,5,Toyota GR Supra GT4 EVO2,2026-05-17 00:38:38.318006
61,961,Cup 3,PRO,3,Lu,33,----LAP 33,11:27.088,9:08.057,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
62,949,Cup 3,AM,4,Wenisch,33,34.207,11:51.720,9:12.020,5,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
63,966,Cup 3,PRO,5,Oehme,33,40.847,13:02.320,9:17.003,6,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
64,776,TCR,,1,Gabbiani,33,3:13.700,15:24.742,9:20.188,6,Audi RS3 LMS SEQ,2026-05-17 00:38:38.318006
65,939,Cup 3,AM,6,Schwenk,33,4:18.337,13:55.264,9:15.697,5,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
66,171,SP 10,AM,8,Ullström,33,4:19.810,15:20.512,9:23.892,5,Porsche 718 Cayman GT4 RS CS,2026-05-17 00:38:38.318006
67,952,Cup 3,PRO,7,Kraus,33,6:31.207,11:46.208,9:27.223,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
68,982,Cup 3,AM,8,Duffner,33,6:48.318,11:50.968,9:22.333,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
69,945,Cup 3,AM,9,Okumura,33,8:01.516,12:19.504,9:41.427,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
70,13,Cup 2,AM,10,Ecke,33,9:41.669,14:38.366,9:17.807,4,Porsche 911 GT3 Cup (992),2026-05-17 00:38:38.318006
71,95,Cup 2,PRO,11,Rettenbacher,33,9:46.272,10:20.139,8:38.526,7,Porsche 911 GT3 Cup (992),2026-05-17 00:38:38.318006
72,999,Cup 3,PRO,10,Riemer,33,10:43.898,12:05.131,9:07.084,6,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
73,164,SP 10,PROAM,9,Brodmerkel,32,----LAP 32,15:37.230,8:59.910,5,Porsche 718 Cayman GT4 RS CS,2026-05-17 00:38:38.318006
74,175,SP 10,AM,10,Vazquez,32,2:05.782,14:27.292,9:09.674,5,Mercedes-AMG GT4,2026-05-17 00:38:38.318006
75,967,Cup 3,PRO,11,Rich,32,3:12.755,12:27.187,9:23.859,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
76,169,SP 10,AM,11,Sander,32,4:49.717,11:22.768,9:17.197,4,Aston Martin Vantage AMR GT4,2026-05-17 00:38:38.318006
77,969,Cup 3,AM,12,Stewart,32,7:15.242,14:42.301,9:27.071,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
78,317,SP 3T,,1,Haugg,32,7:16.885,11:33.965,9:34.061,5,Audi TTs,2026-05-17 00:38:38.318006
79,37,SP 9,AM,33,Wahl,32,7:50.835,10:58.050,8:37.093,6,Aston Martin Vantage AMR GT3,2026-05-17 00:38:38.318006
80,978,Cup 3,AM,13,Lamsouguer,32,8:21.112,11:59.053,9:33.831,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
81,977,Cup 3,AM,14,Zimmermann,32,11:17.853,11:51.011,9:48.521,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
82,50,SP 4T,,2,Hammel,32,,12:43.149,8:57.956,5,VW Golf GTI Clubsport 24h,2026-05-17 00:38:38.318006
83,898,BMW,,1,Dacher,32,12:16.623,11:22.392,9:44.883,4,BMW M2 Racing (G87)*,2026-05-17 00:38:38.318006
84,396,V6,,1,Büllesbach,31,----LAP 31,13:56.021,9:38.681,5,Porsche Cayman S*,2026-05-17 00:38:38.318006
85,519,VT2 Hecka,,1,Tack,31,23.698,13:57.228,9:48.700,4,Toyota Supra*,2026-05-17 00:38:38.318006
86,878,BMW,,2,Schlichenmeier,31,2:01.845,13:19.396,9:51.694,5,BMW M2 Racing (G87)*,2026-05-17 00:38:38.318006
87,480,VT2 Front,,1,Dupré,31,2:11.589,14:09.687,9:49.819,5,Audi S3-Lim*,2026-05-17 00:38:38.318006
88,500,VT2 Hecka,,2,Zils,31,2:21.189,14:13.527,9:49.234,4,BMW 330i*,2026-05-17 00:38:38.318006
89,669,BMW M240i,,1,Petrolo,31,2:59.424,11:36.917,9:43.196,4,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
90,577,TCR,,2,Rosam,31,3:04.246,14:29.589,9:25.597,4,Cupra Leon Competición TCR,2026-05-17 00:38:38.318006
91,658,BMW M240i,,2,Sari,31,4:34.271,14:18.871,9:58.764,5,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
92,652,BMW M240i,,3,Opran,31,5:43.689,11:26.506,9:37.792,5,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
93,321,SP 3T,,2,Mache,31,5:45.782,11:04.483,9:20.461,7,VW GOLF 7 GTI TCR DSG,2026-05-17 00:38:38.318006
94,170,SP 10,,12,Koyama,31,6:22.791,12:04.323,9:00.540,5,Toyota GR Supra GT4 EVO2,2026-05-17 00:38:38.318006
95,448,V6,,2,Müller,31,6:39.234,11:29.673,9:38.614,6,Porsche Cayman S*,2026-05-17 00:38:38.318006
96,665,BMW M240i,,4,Reinhard,31,7:02.160,11:37.264,9:41.802,5,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
97,653,BMW M240i,,5,Fitzgerald,31,7:08.494,11:53.340,9:45.564,6,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
98,941,Cup 3,PRO,15,van der Snel,31,,10:29.524,9:05.659,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
99,471,VT2 Front,,2,Eichhorn,31,10:41.921,11:39.860,9:59.750,5,Cupra Leon KL*,2026-05-17 00:38:38.318006
100,444,V5,,1,Korn,30,----LAP 30,11:29.534,9:54.131,5,Porsche Cayman CM12*,2026-05-17 00:38:38.318006
101,474,VT2 Front,,3,Hrubesch,30,10.956,12:31.480,10:15.189,5,VW Golf GTI *,2026-05-17 00:38:38.318006
102,40,SP 9,AM,34,Posavac,30,29.946,18:34.705,8:53.859,4,BMW E89 Z4 (EVO 2013),2026-05-17 00:38:38.318006
103,89,TCR,,3,Groneck,30,1:34.712,11:46.191,9:55.499,5,VW GOLF 7 GTI TCR DSG,2026-05-17 00:38:38.318006
104,454,V5,,2,Hansen,30,1:40.988,12:44.455,10:10.380,4,Porsche Cayman CM12*,2026-05-17 00:38:38.318006
105,524,VT2 Hecka,,3,Ooms,30,2:01.816,14:39.846,9:48.602,4,Toyota Supra*,2026-05-17 00:38:38.318006
106,670,BMW M240i,,6,Paviot,30,2:14.513,15:10.843,9:58.466,5,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
107,870,BMW,,3,Kreutzpointner,30,2:40.866,12:48.925,9:46.793,5,BMW M2 Racing (G87)*,2026-05-17 00:38:38.318006
108,520,VT2 Hecka,,4,Horino,30,5:31.567,15:21.149,9:56.492,4,Toyota Supra*,2026-05-17 00:38:38.318006
109,667,BMW M240i,,7,Fontes,30,7:29.646,15:43.246,9:49.349,5,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
110,503,VT2 Hecka,,5,Ehrhardt,30,8:21.771,12:26.495,10:07.362,5,Toyota Supra*,2026-05-17 00:38:38.318006
111,420,SP 7,,2,Schöni,30,9:43.600,12:10.508,9:15.838,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
112,651,BMW M240i,,8,Silva,30,11:19.582,11:40.582,9:38.161,5,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
113,472,VT2 Front,,4,Füting,30,7:49.843,13:46.616,10:15.934,5,Cupra Leon KL*,2026-05-17 00:38:38.318006
114,100,BMW 325i,,1,Gruber,29,----LAP 29,13:30.483,10:21.172,3,BMW 325i*,2026-05-17 00:38:38.318006
115,821,SP 3T,,3,Epp,29,4:12.790,11:26.989,9:40.639,6,Audi RS3 LMS DSG*,2026-05-17 00:38:38.318006
116,650,BMW M240i,,9,Fübrich,29,5:25.792,13:41.324,9:29.559,5,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
117,418,V6,,3,Lamadrid,29,7:29.108,13:13.372,10:12.681,6,Porsche Cayman S*,2026-05-17 00:38:38.318006
118,514,VT2 Hecka,,6,De Groot,29,8:30.053,14:01.960,9:47.916,4,BMW 330i*,2026-05-17 00:38:38.318006
119,415,V6,,4,Arnold,29,11:47.272,11:17.984,9:39.386,5,Porsche 911 Carrera*,2026-05-17 00:38:38.318006
120,320,AT2,,2,López Cesaratto,28,----LAP 28,11:28.727,8:57.689,5,Porsche 911 GT3 Cup (992.1),2026-05-17 00:38:38.318006
121,979,Cup 3,PRO,16,Surzyshyn,28,16.982,15:22.144,9:18.187,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
122,959,Cup 3,PRO,17,Haughton,28,1:58.013,12:37.460,9:01.126,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
123,101,BMW 325i,,2,Schwolow,28,2:54.860,16:18.352,10:43.196,4,BMW 325i (e90)*,2026-05-17 00:38:38.318006
124,505,VT2 Hecka,,7,Van Vooren,28,3:59.966,12:35.313,10:43.608,4,BMW 330i*,2026-05-17 00:38:38.318006
125,112,BMW 325i,,3,Küpper,28,7:57.767,15:25.422,10:33.637,5,BMW 325i (e90)*,2026-05-17 00:38:38.318006
126,455,V5,,3,Trinius,28,,22:54.838,10:35.030,5,Porsche Cayman CM12*,2026-05-17 00:38:38.318006
127,303,SP 4T,,3,Shin,28,6:48.392,13:21.674,9:29.769,4,Hyundai Motor Company ELANTRAN1 RP,2026-05-17 00:38:38.318006
128,830,TCR,,4,Basseng,27,----LAP 27,10:39.103,8:54.740,4,Hyundai Motor Company ELANTRA N TCR,2026-05-17 00:38:38.318006
129,445,V5,,4,Welker,27,21.872,13:12.587,10:41.778,5,Porsche Cayman CM12*,2026-05-17 00:38:38.318006
130,440,V5,,5,Ebener,27,2:03.693,11:57.419,10:09.194,5,Porsche Cayman CM12*,2026-05-17 00:38:38.318006
131,477,VT2 Front,,5,Mennecke,27,2:34.058,13:18.035,10:56.392,5,VW Scirocco R TSI*,2026-05-17 00:38:38.318006
132,380,SP 2T,,1,Schäffer,27,3:37.535,19:09.641,10:43.078,4,Opel Corsa GS Line 130*,2026-05-17 00:38:38.318006
133,152,SP 4,,1,Koger,27,4:11.343,20:12.305,11:21.667,4,BMW 325CI*,2026-05-17 00:38:38.318006
134,10,SP 3T,,4,Lenz,27,7:16.868,11:26.459,9:32.312,6,VW Golf GTI Clubsport 24h,2026-05-17 00:38:38.318006
135,109,SP 2T,,2,Oshima,27,,18:49.537,9:33.699,6,Toyota GR Yaris,2026-05-17 00:38:38.318006
136,300,SP 3T,,5,Geilfus,27,9:36.141,13:02.217,10:22.613,6,Dacia Logan,2026-05-17 00:38:38.318006
137,82,SP 7,,3,Schröder,26,----LAP 26,11:28.128,9:42.820,6,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:38:38.318006
138,59,SP 8T,,1,Weishar,26,1:16.677,14:35.374,8:57.891,4,McLaren Artura Trophy Evo,2026-05-17 00:38:38.318006
139,786,SP 9,AM,35,Nana,26,,15:57.033,8:28.245,6,Lamborghini Huracan GT3 EVO2,2026-05-17 00:38:38.318006
140,302,SP 4T,,4,Azcona,25,----LAP 25,13:07.400,9:21.541,3,Hyundai Motor Company ELANTRAN1 RP,2026-05-17 00:38:38.318006
141,911,SP 9,PRO,36,Estre,24,----LAP 24,12:05.638,8:13.671,3,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:38:38.318006
142,64,SP 9,PRO,37,Maini,24,1:16.175,9:15.199,8:14.825,3,Ford Mustang GT3 EVO (2026),2026-05-17 00:38:38.318006
143,677,BMW M240i,,10,Tauber,24,1:57:46.141,14:42.815,10:17.190,5,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
144,800,SP 3T,,6,Oepen,23,----LAP 23,15:44.814,9:44.296,7,VW GOLF 7 GTI TCR DSG,2026-05-17 00:38:38.318006
145,76,SP 4T,,5,Hochwind,21,----LAP 21,1:26:49.596,9:03.336,5,VW Golf GTI Clubsport 24h,2026-05-17 00:38:38.318006
146,569,VT2 Hecka,,8,Van‘t veer,20,----LAP 20,14:14.953,10:14.652,5,BMW 328i*,2026-05-17 00:38:38.318006
147,501,VT2 Hecka,,9,Vortkamp,17,----LAP 17,13:48.642,10:19.031,3,BMW 330i*,2026-05-17 00:38:38.318006
148,808,SP 3T,,7,Geon,17,2:42:45.034,16:54.324,10:03.234,2,Cupra TCR DSG,2026-05-17 00:38:38.318006
149,108,BMW 325i,,4,Grilli,16,----LAP 16,17:57.423,10:40.183,4,BMW 325i (e90)*,2026-05-17 00:38:38.318006
150,277,SP 3,,1,Harris,16,,27:12.894,10:17.533,5,BMW 318ti (E36)*,2026-05-17 00:38:38.318006
151,16,SP 9,PRO,38,Sims,16,,20:15.798,8:13.543,3,Audi R8 LMS GT3 evo II,2026-05-17 00:38:38.318006
152,47,SP 9,PRO,39,Krohn,15,----LAP 15,9:34.941,8:13.404,2,Mercedes-AMG GT3,2026-05-17 00:38:38.318006
153,189,SP 10,AM,13,Kroll,15,23:04.326,13:14.547,9:02.852,2,BMW M4 GT4 EVO (G82),2026-05-17 00:38:38.318006
154,45,SP 9,PRO,40,Vermeulen,14,----LAP 14,12:21.623,8:12.515,2,Ferrari 296 GT3 Evo26,2026-05-17 00:38:38.318006
155,75,AT1,PROAM,2,Fugel,11,----LAP 11,8:31.376,8:20.316,1,Audi R8 LMS GT3 evo II,2026-05-17 00:38:38.318006
156,195,BMW M240i,,11,Hoenjet,10,----LAP 10,10:18.132,9:31.981,1,BMW M240i Racing Cup*,2026-05-17 00:38:38.318006
157,110,SP 2T,,3,Sasaki,7,----LAP 7,12:50.416,11:05.842,2,Toyota GR Yaris,2026-05-17 00:38:38.318006
158,410,V6,,5,Croci,6,----LAP 6,10:08.339,10:20.292,1,Porsche Cayman GTS*,2026-05-17 00:38:38.318006
159,35,SP 9,PROAM,41,Fernandez Laser,4,----LAP 4,10:19.256,8:29.335,1,Aston Martin Vantage AMR GT3 EVO,2026-05-17 00:38:38.318006
NormalQualified,NormalQualified,NormalQualified,NormalQualified,NormalQualified,NormalQualified,NormalQualified,NormalQualified,NormalQualified,NormalQualified,NormalQualified,NormalQualified,2026-05-17 00:38:38.318006
1,3,SP 9,PRO,1,Auer,38,----LAP 38,9:46.909,8:13.690,5,Mercedes-AMG GT3,2026-05-17 00:39:08.504770
2,80,SP 9,PRO,2,Schiller,38,01.256,9:46.499,8:14.337,5,Mercedes-AMG GT3,2026-05-17 00:39:08.504770
3,34,SP 9,PRO,3,Drudi,38,2:30.542,9:54.983,8:17.432,5,Aston Martin Vantage AMR GT3 EVO,2026-05-17 00:39:08.504770
4,99,SP 9,PRO,4,Harper,38,2:41.985,9:36.895,8:18.953,5,BMW M4 GT3 EVO,2026-05-17 00:39:08.504770
5,81,SP-X,PRO,1,de Phillippi,38,3:00.506,10:22.802,8:17.045,5,BMW M3 Touring 24h,2026-05-17 00:39:08.504770
6,44,SP 9,PRO,5,Bachler,38,3:08.994,10:06.254,8:17.284,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
7,24,SP 9,PRO,6,Vanthoor,38,4:14.044,11:06.357,8:18.141,4,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
8,1,SP 9,PRO,7,Farfus,37,----LAP 37,10:01.248,8:16.257,5,BMW M4 GT3 EVO,2026-05-17 00:39:08.504770
9,54,SP 9,PRO,8,Christensen,37,04.339,10:10.236,8:21.411,4,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
10,67,SP 9,PRO,9,Vervisch,37,10.871,12:56.190,8:16.169,5,Ford Mustang GT3 EVO (2026),2026-05-17 00:39:08.504770
11,65,SP 9,PROAM,10,Caresani,37,43.151,9:56.987,8:15.271,5,Ford Mustang GT3 EVO (2026),2026-05-17 00:39:08.504770
12,86,SP 9,PROAM,11,King,37,1:22.560,9:40.795,8:24.189,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
13,26,SP 9,PRO,12,Böckmann,37,1:24.799,9:56.205,8:14.685,5,Mercedes-AMG GT3,2026-05-17 00:39:08.504770
14,84,SP 9,PRO,13,Bortolotti,37,1:37.971,9:52.288,8:11.149,5,Lamborghini Huracan GT3 EVO2,2026-05-17 00:39:08.504770
15,77,SP 9,PRO,14,Frijns,37,2:24.357,10:24.817,8:14.452,5,BMW M4 GT3 EVO,2026-05-17 00:39:08.504770
16,48,SP 9,PROAM,15,Müller,37,2:37.456,10:17.979,8:17.605,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
17,11,SP 9,PROAM,16,Härtling,37,2:46.506,10:15.253,8:19.388,5,Mercedes-AMG GT3,2026-05-17 00:39:08.504770
18,55,SP 9,PRO,17,Sturm,37,3:13.877,10:06.096,8:27.508,6,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
19,18,SP 9,PROAM,18,Kolb,37,4:08.067,9:52.824,8:24.640,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
20,17,SP 9,PRO,19,Menzel,37,4:19.107,9:36.782,8:18.394,6,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
21,69,SP 9,PRO,20,Dörr,37,5:22.089,10:03.009,8:18.493,5,McLaren 720S-GT3,2026-05-17 00:39:08.504770
22,123,SP 9,PROAM,21,Brundle,37,6:36.692,9:55.584,8:25.985,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
23,7,SP 9,PRO,22,Paul,37,6:40.762,9:50.406,8:14.446,5,Lamborghini Huracan GT3 EVO2,2026-05-17 00:39:08.504770
24,5,SP 9,AM,23,Kiefer,37,7:13.707,10:14.902,8:18.760,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
25,4,SP 9,PROAM,24,Fontana,37,7:34.354,10:03.121,8:22.099,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
26,30,SP 9,PROAM,25,Seefried,36,----LAP 36,10:10.548,8:24.267,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:39:08.504770
27,39,SP 9,PROAM,26,Hantke,36,1:19.673,10:33.894,8:28.420,5,Aston Martin Vantage AMR GT3 EVO,2026-05-17 00:39:08.504770
28,32,SP 9,PROAM,27,Nakayama,36,2:23.188,12:49.674,8:31.507,5,Mercedes-AMG GT3,2026-05-17 00:39:08.504770
29,66,SP-X,PROAM,2,Hörr,36,5:19.610,10:54.172,8:31.491,5,KTM X-Bow GTX,2026-05-17 00:39:08.504770
30,130,SP 9,PRO,28,Yelloly,36,5:19.715,23:54.448,8:14.351,5,Lamborghini Huracan GT3 EVO2,2026-05-17 00:39:08.504770
31,900,Cup 2,PRO,1,Meijer,36,6:27.450,10:25.087,8:31.415,4,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
32,902,Cup 2,PRO,2,Rennhofer,36,7:08.726,10:16.282,8:31.047,4,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
33,918,Cup 2,PRO,3,Scheerbarth,36,9:21.506,10:38.620,8:32.495,4,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
34,71,SP 9,PROAM,29,Kaffer,36,9:39.741,10:21.220,8:27.786,5,Audi R8 LMS GT3 evo II,2026-05-17 00:39:08.504770
35,19,AT1,PROAM,1,Coronel,35,----LAP 35,10:11.285,8:26.868,5,Audi R8 LMS GT3 evo II,2026-05-17 00:39:08.504770
36,61,SP-X,PRO,3,Arnold,35,2:31.521,10:47.814,8:49.118,5,HWA EVO.R,2026-05-17 00:39:08.504770
37,992,SP-PRO,PROAM,1,Griesemann,35,3:24.068,13:55.477,8:36.238,5,Porsche 911 GT3 CUP MR,2026-05-17 00:39:08.504770
38,8,SP 9,AM,30,Veremenko,35,3:31.660,10:15.222,8:31.131,5,Audi R8 LMS GT3 evo II,2026-05-17 00:39:08.504770
39,62,SP-X,PRO,4,Adelson,35,4:47.696,11:59.157,8:44.071,4,HWA EVO.R,2026-05-17 00:39:08.504770
40,925,Cup 2,PRO,4,Miller,35,5:53.274,10:27.198,8:50.061,4,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
41,909,Cup 2,AM,5,Messenger,35,6:20.468,12:26.851,8:38.719,4,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
42,904,Cup 2,AM,6,Kranz,35,6:59.783,10:24.706,8:34.272,5,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
43,33,SP 9,PROAM,31,Di Martino,35,,15:55.817,8:33.316,6,Audi R8 LMS GT3 evo II,2026-05-17 00:39:08.504770
44,88,SP 4T,,1,Kubo,35,5:08.183,11:48.582,8:58.132,4,Subaru WRX,2026-05-17 00:39:08.504770
45,63,SP-X,PRO,5,Holstad,34,----LAP 34,11:28.262,8:50.353,5,HWA EVO.R,2026-05-17 00:39:08.504770
46,632,AT2,,1,Charoudin,34,05.760,10:58.906,8:33.391,5,Porsche 911 GT3 Cup (992.1),2026-05-17 00:39:08.504770
47,777,Cup 2,AM,7,Jönsson,34,22.871,11:56.590,8:37.406,4,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
48,962,Cup 3,PRO,1,Wiedmann,34,56.305,11:02.774,9:00.773,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
49,908,Cup 2,AM,8,Mühlenz,34,1:40.313,14:27.960,8:48.446,4,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
50,919,Cup 2,PRO,9,Chrzanowski,34,1:57.912,10:19.602,8:34.385,5,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
51,176,SP 10,PROAM,1,de Oliveira,34,2:04.773,14:35.624,9:00.405,4,Mercedes-AMG GT4,2026-05-17 00:39:08.504770
52,888,SP 10,PROAM,2,Wiskirchen,34,2:05.470,15:08.293,8:54.980,4,BMW M4 GT4 EVO (G82),2026-05-17 00:39:08.504770
53,187,SP 10,PROAM,3,Link,34,2:45.324,14:10.688,8:57.978,5,BMW M4 GT4 (G82),2026-05-17 00:39:08.504770
54,180,SP 10,AM,4,Ogburn,34,4:55.864,11:11.857,8:56.749,5,BMW M4 GT4 EVO (G82),2026-05-17 00:39:08.504770
55,971,Cup 3,PRO,2,Braun,34,5:32.871,12:09.207,9:00.846,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
56,145,SP 10,PROAM,5,Bleekemolen,34,6:01.327,11:10.870,8:57.361,5,BMW M4 GT4 EVO (G82),2026-05-17 00:39:08.504770
57,36,SP 9,AM,32,Scherer,34,7:07.491,11:57.971,9:05.727,5,BMW E89 Z4 (EVO 2013),2026-05-17 00:39:08.504770
58,177,SP 10,PROAM,6,Nicolae,34,7:25.389,10:54.145,9:00.667,4,BMW M4 GT4 EVO (G82),2026-05-17 00:39:08.504770
59,91,SP 7,,1,Ertl,34,8:41.522,11:49.779,8:49.797,5,Porsche 911 GT3 Cup (991),2026-05-17 00:39:08.504770
60,90,SP 10,PROAM,7,Sagrera,34,7:08.202,10:51.396,8:59.380,5,Toyota GR Supra GT4 EVO2,2026-05-17 00:39:08.504770
61,961,Cup 3,PRO,3,Lu,33,----LAP 33,11:27.088,9:08.057,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
62,949,Cup 3,AM,4,Wenisch,33,34.207,11:51.720,9:12.020,5,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
63,966,Cup 3,PRO,5,Oehme,33,40.847,13:02.320,9:17.003,6,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
64,776,TCR,,1,Gabbiani,33,3:13.700,15:24.742,9:20.188,6,Audi RS3 LMS SEQ,2026-05-17 00:39:08.504770
65,939,Cup 3,AM,6,Schwenk,33,4:18.337,13:55.264,9:15.697,5,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
66,171,SP 10,AM,8,Ullström,33,4:19.810,15:20.512,9:23.892,5,Porsche 718 Cayman GT4 RS CS,2026-05-17 00:39:08.504770
67,952,Cup 3,PRO,7,Kraus,33,6:31.207,11:46.208,9:27.223,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
68,982,Cup 3,AM,8,Duffner,33,6:48.318,11:50.968,9:22.333,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
69,945,Cup 3,AM,9,Okumura,33,8:01.516,12:19.504,9:41.427,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
70,13,Cup 2,AM,10,Ecke,33,9:41.669,14:38.366,9:17.807,4,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
71,95,Cup 2,PRO,11,Rettenbacher,33,9:46.272,10:20.139,8:38.526,7,Porsche 911 GT3 Cup (992),2026-05-17 00:39:08.504770
72,999,Cup 3,PRO,10,Riemer,33,10:43.898,12:05.131,9:07.084,6,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
73,164,SP 10,PROAM,9,Brodmerkel,32,----LAP 32,15:37.230,8:59.910,5,Porsche 718 Cayman GT4 RS CS,2026-05-17 00:39:08.504770
74,175,SP 10,AM,10,Vazquez,32,2:05.782,14:27.292,9:09.674,5,Mercedes-AMG GT4,2026-05-17 00:39:08.504770
75,967,Cup 3,PRO,11,Rich,32,3:12.755,12:27.187,9:23.859,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
76,169,SP 10,AM,11,Sander,32,4:41.236,11:22.768,9:17.197,4,Aston Martin Vantage AMR GT4,2026-05-17 00:39:08.504770
77,969,Cup 3,AM,12,Stewart,32,7:15.242,14:42.301,9:27.071,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
78,317,SP 3T,,1,Haugg,32,7:16.885,11:33.965,9:34.061,5,Audi TTs,2026-05-17 00:39:08.504770
79,37,SP 9,AM,33,Wahl,32,7:50.835,10:58.050,8:37.093,6,Aston Martin Vantage AMR GT3,2026-05-17 00:39:08.504770
80,978,Cup 3,AM,13,Lamsouguer,32,8:21.112,11:59.053,9:33.831,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
81,977,Cup 3,AM,14,Zimmermann,32,11:17.853,11:51.011,9:48.521,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:39:08.504770
